"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03722V04470","Type of Buyer","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","130"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","760"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","970"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","130"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","370"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","1670"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","140"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","430"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","280"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","250"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","2370"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","310"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","560"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","600"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","520"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","940"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","670"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","IE0","Ireland","Number","16370"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","460"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","460"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","350"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","1410"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","190"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","1560"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","820"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","710"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","750"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","530"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","330"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","530"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","250"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","680"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","230"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","440"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","710"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","270"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","250"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","500"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","130"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","600"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","200"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","400"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","490"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","380"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","600"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","630"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","330"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","420"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","140","Buyer without Mortgage","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","750"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","IE0","Ireland","Number","44400"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","1030"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","980"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","650"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","3760"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","470"
