"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03721V04469","Transaction Class","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","€","44900"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","€","59600"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","€","61700"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","€","41300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","€","55600"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","€","73200"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","€","51400"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","€","52000"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","€","55300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","€","48300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","€","84600"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","€","53200"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","€","55600"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","€","58200"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","€","55700"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","€","79700"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","€","53600"
